Processed_Job_Title,Processed_Job_Description
digital marketing manager poste basé,poste vacants poste ouvert type désiré temps plein an niveau bac grand rémunération proposée confidentiel langue français anglais genre indifférent description description poste recherchons digital marketing manager passionné talentueux prendre charge stratégie marketing numérique si professionnel dynamique créatif axé résultat cette opportunité faite mission développer exécuter stratégie marketing numérique stimuler croissance gérer efficacement campagne publicitaire ligne différentes analyser performance campagne ajuster stratégie conséquence collaborer équipe créer contenu captivant engageant maintenir présence cohérente percutante média sociaux autres canal numériques être tendance marché nouvelle opportunité domaine marketing numérique exigence profil recherché formation universitaire marketing communication domaine connexe disposez dune expérience moins an gestion campagne marketing numérique maîtrisez outil publicité ligne capacité analyser donnée prendre décision bénéficiez compétence communication travail date mot clé solution digital marketing manager poste basé communication marketing
data,poste vacants poste ouvert type désiré an niveau bac grand rémunération proposée confidentiel langue français anglais genre indifférent description cadre croissance recherchons client grand compte data mission piloter mise suivi performance canal digital activité technique responsable site analyste réalise analyse fonctionnelles approfondies comprendre ’ évolution indicateur aider décision identification besoin ’ analyse responsable site analyste identification data nécessaire construction outil ’ analyse présentation résultat chef projet ’ équipe digitale ’ analyse roi leurs projet identifier besoin ’ analyse chef projet accompagner ’ accès donnée réalisation analyse formuler recommandation outil suivi roi projet spécifier piloter ’ monitoring canal digital lien étroit direction opération ’ équipe participer atelier définition règle gestion métier prendre charge ’ écriture spécification fonctionnelles lien direction opération accompagner ’ équipe développement point nécessitant approfondissement rédiger plan test réalise recette fonctionnelle proposer représentation graphique participe ’ élaboration visualisation simple ergonomiques ’ outil activité ’ organisation gestion suivre mettre jour mensuellement suivi performance animer comité projet rédige compte rendu exigence niveau diplôme requis niveau ’ expérience équivalent bac minimum compétence technique bonne capacité analytique a ’ aise représentation graphique analyse donnée sensible forme rigueur autonomie base gestion projet goût compréhension business compétence liées a ’ informatique niveau expert niveau expert niveau expert date mot clé smart conseil data
chargé communication,poste vacants poste ouvert type désiré temps plein an niveau maîtrise bac rémunération proposée confidentiel langue français anglais arabe genre indifférent description • planification stratégique communication veillant message clair cohérents alignés objectif ’ entreprise • création contenu différent canal communication • planification mise campagne marketing promotion produit service ’ entreprise • assurer veille médiatique tendance secteur trouver nouvelle idée dispositif intégrer sein plan communication • analyse performance campagne communication • gestion ’ équipe communication répartition travail entre différent vis exigence compétence requises • bonne connaissance différent canal communication média sociaux publicité etc utilisation fonction cible visée • capacité rédiger contenu qualité contenu visuel réalisation support communication • bonne maîtrise outil communication digitale • excellente maîtrise français arabe bonne connaissance ’ anglais • forte capacité travailler équipe • rigueur ’ organisation curiosité ’ ouverture ’ esprit disponibilité sens ’ écoute diplomatie • doit être force proposition rôle conseil auprès direction expérience an domaine exigée compréhension domaine sport réel atout fera différence date mot clé commercial chargé client portefeuille client article sport équipement sportif chargé communication
consultant technique,poste vacants poste ouvert type désiré temps plein an niveau bac grand rémunération proposée confidentiel langue français anglais genre indifférent description cadre développement soutenu recherche deux nouveau recrue développement faire conception développement test documentation mise place ’ ensemble business vont intégrer ’ équipe développement participer projet logiciel sein ’ équipe dynamique délivrerez service client prestigieux internationaux charge réaliser tout partie activité suivant faire ’ état lieux ’ outil pouvoir proposer amélioration réalisation travaux conception développement documentation technique associée apport ’ expertise technique sein cabinet mise place technique permettant équipe ’ intervenir clientèle relation centre compétence implantés chez client intégrée équipe jeune permettant ’ exprimer pleinement potentiel projet variés passionnant réaliser travaux quotidien amené maîtriser technologie business développent expertise accompagnement collaborateur permettra nouveau outil technologie exigence compétence requises esprit analytique logique compréhension dimension technique ’ projet capacité travail équipe ’ adaptation esprit service sens résultat travailler plaît recherchez stage sein ’ entreprise forte croissance envie impliquer projet ambitieux permettra développer connaissance date mot clé solution manager sap¨ consultant technique informatique développement
data,poste vacants poste ouvert type désiré an niveau ingénieur rémunération proposée confidentiel description recherche ’ nouvelle opportunité professionnel ’ internationale pouvez dès présent décrocher envoler ’ partenaire localisés souhaite recruter nouveau talent domaine data renforcer équipe accompagnerons a jusqu ’ bien installés si reconnais profil recherché alors profite ’ opportunité tout suite exigence poste expérience développent modèle machine architecture capacité faire modèle existant leurs adaptation besoin ’ entreprise évaluation amélioration continue modèle expérience modèle donnée analyse statistique nettoyage donnée expérience déploiement modèle analyser différent type donnée image texte vidéo technologie demandées python … exigence profil formation supérieur école ’ ingénieur équivalent bac appétence data autonomie sens ’ organisation rigueur précision capacité rédactionnelles capacité synthèse ’ analyse capacité être force proposition date mot clé data python data data
développeur full,poste vacants poste ouvert type désiré description description recherche développeur full rejoindre équipe dynamique ambitieux tant développeur full responsable conception développement solution mobile client travaillerez étroite collaboration équipe commerciale technique garantir projet livrés délai impartis satisfaction client responsabilité concevoir développer application mobile hautement performantes évolutives travailler étroite collaboration équipe commerciale technique comprendre besoin client proposer solution adaptées assurer qualité code suivant meilleur pratique développement effectuant test rigoureux participer planification projet maintenir documentation claire précise tous développement si passionné développement logiciel souhaitez rejoindre entreprise pleine croissance offrant opportunité développement professionnel envoyez lettre motivation dès maintenant exigence exigence diplôme informatique domaine connexe expérience an plus tant développeur full solide compétence développement compris langage programmation tels python bonne compréhension base donnée expérience travail tels vue fort compétence communication travail résolution problème date mot clé développeur full full développeur python
chef projet,poste vacants poste ouvert type désiré an niveau bac grand rémunération proposée confidentiel langue français anglais genre indifférent description cadre croissance recherchons client grand compte chef projet mission assurer coordination intervenant projet production afin ’ garantir mise production exploitation assurer ’ interface chef projet métier responsable production informatique respecter engagement pris envers métier tant ’ point vue planning budget garantir disposition documentation projet respecter gouvernance projet réunion suivi planning coût qualité respecter norme standard ’ entreprise règle conformité sécurité projet exigence devrez être issu ’ formation supérieur bac type ’ ingénieur équivalent universitaire possédez expérience ’ environ an chefferie projet compétence recherchées obligatoires utilisation méthode projet capacité piloter projet connaissance budgétaires associées contrôle respect processus estimation planification ’ activité anglais – compétence recherchées technique application tiers poste travail expérience projet ’ international expérience projet capacité ’ analyse synthèse capacité échanger interlocuteur métier capacité ’ intégration équipe capacité ’ adaptation travail équipe date mot clé smart conseil chef projet
consultant office manager,poste vacants poste ouvert type désiré temps plein an niveau licence bac rémunération proposée confidentiel langue français anglais arabe genre indifférent description description position consultant office manager a crucial in assistance office are for course planning goal office job course aspiration objectives plan goal sale service prospective client effort marketing for manage office administratif service location exigence qualification a or in a relevant in verbal computer office application excellent communication capable minimal supervision a a in in interaction date mot clé service client communication orientation éducation accompagnement enseignement management consultant office manager
consultant,poste vacants poste ouvert type désiré an niveau bac grand rémunération proposée confidentiel langue français anglais genre indifférent description cadre croissance recherchons client grand compte consultant maîtrise responsable gestion besoin spécification fonctionnelles projet informatique joue rôle essentiel communication entre partie prenantes projet notamment utilisateur développeur équipe gestion projet garantir livraison produit service conforme attente responsabilité principale collaborer partie prenantes identifier documenter comprendre besoin exigence projet élaborer spécification fonctionnelles claire détaillées proposer solution technique fonctionnelles répondre besoin identifiés collaborer équipe développement élaborer scénario cas maintenir registre exigence modification assurant tout long projet gérer changement évaluant impact projet faciliter communication entre partie prenantes compris utilisateur développeur testeur responsable projet présenter spécification fonctionnelles solution proposées manière claire compréhensible collaborer équipe test spécification correctement mise valider produit final répond besoin attente utilisateur maintenir documentation complète jour spécification fonctionnelles décision prise tout long projet exigence excellentes compétence communication verbale écrite capacité analyser synthétiser information complexe connaissance méthodologie gestion projet ex agile compréhension concept technique lié développement logiciel maîtrise outil gestion exigence ex confluence qualification diplôme informatique gestion projet ingénierie domaine connexe atout expérience préalable tant maîtrise rôle similaire expérience professionnel antérieure préférable date mot clé smart conseil consultant confluence
chef projet,poste vacants poste ouvert type désiré an niveau bac grand rémunération proposée confidentiel langue français anglais genre indifférent description poste chef projet rôle clé sein dune organisation car implique superviser coordonner activité liées sécurité informatique voici principale mission généralement demandées chef projet mission analyse risque identifier évaluer risque lié sécurité informatique tenant compte menace potentielles vulnérabilité existantes conception mise stratégie sécurité développer stratégie politique sécurité informatique protéger système donnée contre menace interne externe sensibilisation sécurité mettre place programme sensibilisation sécurité sensibiliser employé bonne pratique sécurité réduire risque lié sécurité conformité réglementation respecte réglementation matière protection donnée telles règlement général protection donnée toute autre réglementation applicable exigence diplôme supérieur informatique ingénierie informatique sécurité informatique certification telles information information manager très force proposition aimer transmettre savoir date mot clé smart conseil chef projet
